Tiempo (s), T1 (C), T2 (C), PWM_Heater1, PWM_Heater2
0.01, 28.35, 28.84, 0, 0
1.04, 28.35, 28.84, 0, 0
2.04, 28.35, 28.84, 0, 0
3.04, 28.35, 28.84, 0, 0
4.04, 27.86, 28.35, 0, 0
5.04, 28.35, 28.84, 0, 0
6.05, 28.35, 28.84, 0, 0
7.05, 28.35, 28.35, 0, 0
8.05, 27.86, 28.84, 0, 0
9.05, 27.86, 28.35, 0, 0
10.05, 28.35, 28.35, 0, 0
11.05, 28.35, 28.84, 0, 0
12.06, 27.86, 28.35, 0, 0
13.06, 28.35, 28.84, 0, 0
14.06, 27.86, 28.84, 0, 0
15.06, 27.86, 28.84, 0, 0
16.06, 27.86, 28.35, 0, 0
17.06, 27.86, 28.35, 0, 0
18.06, 27.86, 28.35, 0, 0
19.07, 27.86, 28.35, 0, 0
20.07, 27.86, 28.84, 128, 0
21.07, 27.86, 28.84, 128, 0
22.07, 27.86, 28.35, 128, 0
23.07, 27.86, 28.35, 128, 0
24.08, 27.86, 28.35, 128, 0
25.08, 27.86, 28.35, 128, 0
26.08, 27.86, 29.33, 128, 0
27.08, 28.35, 28.84, 128, 0
28.08, 28.35, 29.33, 128, 0
29.08, 28.35, 29.33, 128, 0
30.09, 28.35, 28.84, 128, 0
31.09, 28.35, 29.33, 128, 0
32.09, 27.86, 28.84, 128, 0
33.09, 27.86, 29.33, 128, 0
34.10, 27.86, 29.33, 128, 0
35.10, 27.86, 29.33, 128, 0
36.10, 27.86, 29.33, 128, 0
37.10, 27.86, 29.33, 128, 0
38.10, 27.37, 29.81, 128, 0
39.10, 28.35, 30.30, 128, 0
40.11, 27.86, 30.30, 128, 0
41.11, 28.35, 30.30, 128, 0
42.11, 28.35, 30.30, 128, 0
43.11, 27.86, 30.79, 128, 0
44.11, 28.35, 30.30, 128, 0
45.11, 27.37, 30.30, 128, 0
46.12, 27.86, 30.30, 128, 0
47.12, 27.86, 30.79, 128, 0
48.12, 27.86, 30.79, 128, 0
49.12, 27.86, 30.79, 128, 0
50.12, 28.35, 31.28, 128, 0
51.13, 28.35, 31.77, 128, 0
52.13, 27.86, 31.77, 128, 0
53.13, 28.35, 31.77, 128, 0
54.13, 28.35, 32.26, 128, 0
55.13, 28.84, 32.26, 128, 0
56.13, 27.86, 31.77, 128, 0
57.14, 27.86, 32.26, 128, 0
58.14, 27.86, 32.26, 128, 0
59.14, 27.86, 32.26, 128, 0
60.14, 27.86, 32.26, 128, 0
61.14, 27.37, 33.24, 128, 0
62.15, 28.35, 33.24, 128, 0
63.15, 28.35, 33.72, 128, 0
64.15, 28.35, 33.72, 128, 0
65.15, 28.35, 33.72, 128, 0
66.15, 28.35, 34.21, 128, 0
67.15, 27.86, 33.72, 128, 0
68.16, 27.86, 34.21, 128, 0
69.16, 28.35, 34.21, 128, 0
70.16, 27.86, 34.21, 128, 0
71.16, 28.35, 34.70, 128, 0
72.16, 27.37, 35.19, 128, 0
73.16, 28.35, 35.19, 128, 0
74.17, 28.84, 35.68, 128, 0
75.17, 28.35, 35.68, 128, 0
76.17, 28.84, 35.68, 128, 0
77.17, 28.84, 36.66, 128, 0
78.18, 28.35, 35.68, 128, 0
79.18, 28.35, 36.17, 128, 0
80.18, 28.35, 36.17, 128, 0
81.18, 28.35, 36.66, 128, 0
82.18, 28.35, 36.17, 128, 0
83.18, 27.86, 37.15, 128, 0
84.19, 28.84, 37.15, 128, 0
85.19, 29.33, 37.63, 128, 0
86.19, 28.84, 37.63, 128, 0
87.19, 28.84, 38.12, 128, 0
88.19, 28.84, 38.12, 128, 0
89.19, 28.84, 37.63, 128, 0
90.20, 28.84, 38.12, 128, 0
91.20, 28.84, 38.12, 128, 0
92.20, 28.84, 38.12, 128, 0
93.20, 28.84, 38.61, 128, 0
94.20, 28.84, 37.15, 128, 0
95.20, 29.33, 39.59, 128, 0
96.21, 29.33, 39.59, 128, 0
97.21, 29.33, 39.59, 128, 0
98.21, 29.33, 39.59, 128, 0
